name,iters,time,cycles,cpuTime,utime,stime,maxrss,minflt,majflt,nvcsw,nivcsw,allocated,numGcs,bytesCopied,mutatorWallSeconds,mutatorCpuSeconds,gcWallSeconds,gcCpuSeconds
elimination/drain/vector,42,3.0206274e-2,66300364,3.0198e-2,0.0,0.0,2863104,0,0,0,12,0,0,0,3.0215823e-2,3.0107e-2,0.0,0.0
elimination/drain/vector,47,3.080585e-2,67616348,3.0818e-2,0.0,0.0,2863104,0,0,0,9,0,0,0,3.0812562e-2,3.0744e-2,0.0,0.0
elimination/drain/vector,49,3.5309672e-2,77501822,3.5367e-2,0.0,0.0,2863104,0,0,0,6,0,0,0,3.5323837e-2,3.5262e-2,0.0,0.0
elimination/drain/vector,52,3.6538199e-2,80198390,3.6535e-2,0.0,0.0,2863104,0,0,0,8,0,0,0,3.6547465e-2,3.6477e-2,0.0,0.0
elimination/drain/vector,54,3.2720411e-2,71818658,3.2736e-2,0.0,0.0,2863104,0,0,0,3,0,0,0,3.2724977e-2,3.2722e-2,0.0,0.0
elimination/drain/vector,57,3.4834369e-2,76458624,3.4807e-2,0.0,0.0,2863104,0,0,0,7,0,0,0,3.4840725e-2,3.4734e-2,0.0,0.0
elimination/drain/vector,60,4.0402322e-2,88679832,4.0414e-2,0.0,0.0,2863104,0,0,0,5,0,0,0,4.0408971e-2,4.0372e-2,0.0,0.0
elimination/drain/vector,63,3.9495546e-2,86689576,3.9506e-2,0.0,0.0,2863104,0,0,0,6,0,0,0,3.9503995e-2,3.9446e-2,0.0,0.0
elimination/drain/vector,66,4.3383344e-2,95223060,4.3319e-2,0.0,0.0,2863104,0,0,0,16,0,0,0,4.3393858e-2,4.3194e-2,0.0,0.0
elimination/drain/vector,69,4.3088223e-2,94575184,4.3082e-2,0.0,0.0,2863104,0,0,0,8,0,0,0,4.3097333e-2,4.3048e-2,0.0,0.0
elimination/drain/vector,73,4.6203044e-2,101411954,4.6221e-2,0.0,0.0,2863104,0,0,0,10,0,0,0,4.6210175e-2,4.6092e-2,0.0,0.0
elimination/drain/vector,76,4.7405853e-2,104052012,4.7393e-2,0.0,0.0,2863104,0,0,0,8,0,0,0,4.7413749e-2,4.7346e-2,0.0,0.0
elimination/drain/vector,80,4.8575352e-2,106618972,4.8558e-2,0.0,0.0,2863104,0,0,0,12,0,0,0,4.8582083e-2,4.8461e-2,0.0,0.0
elimination/drain/vector,84,5.3134247e-2,116625392,5.312e-2,0.0,0.0,2863104,0,0,0,12,0,0,0,5.3141655e-2,5.3044e-2,0.0,0.0
elimination/drain/vector,89,5.7841121e-2,126956713,5.7796e-2,0.0,0.0,2863104,0,0,0,10,0,0,0,5.7851736e-2,5.7746e-2,0.0,0.0
elimination/drain/vector,93,5.7432874e-2,126060450,5.743e-2,0.0,0.0,2863104,0,0,0,12,0,0,0,5.7442029e-2,5.7288e-2,0.0,0.0
elimination/drain/vector,98,6.6821396e-2,146667582,6.6827e-2,0.0,0.0,2863104,0,0,0,12,0,0,0,6.6831016e-2,6.6653e-2,0.0,0.0
